NLOC,CCN,TOKEN,PARAM,LENGTH,FULL_LOCATION,FILE,FUNCTION_NAME,FUNCTION_HEADER,B_LINE,E_LINE
10,4,88,2,11,"mpsearch1@31-41@.\mp.c",".\mp.c","mpsearch1","mpsearch1( uint a , int len)",31,41
16,4,123,1,17,"mpsearch@49-65@.\mp.c",".\mp.c","mpsearch","mpsearch( void)",49,65
16,7,118,1,17,"mpconfig@73-89@.\mp.c",".\mp.c","mpconfig","mpconfig( struct mp ** pmp)",73,89
44,11,241,1,48,"mpinit@92-139@.\mp.c",".\mp.c","mpinit","mpinit( void)",92,139
5,1,24,1,6,"picinit@11-16@.\picirq.c",".\picirq.c","picinit","picinit( void)",11,16
32,7,228,2,35,"pipealloc@23-57@.\pipe.c",".\pipe.c","pipealloc","pipealloc( struct file ** f0 , struct file ** f1)",23,57
16,4,99,2,16,"pipeclose@60-75@.\pipe.c",".\pipe.c","pipeclose","pipeclose( struct pipe * p , int writable)",60,75
19,5,141,3,20,"pipewrite@79-98@.\pipe.c",".\pipe.c","pipewrite","pipewrite( struct pipe * p , char * addr , int n)",79,98
20,6,141,3,21,"piperead@101-121@.\pipe.c",".\pipe.c","piperead","piperead( struct pipe * p , char * addr , int n)",101,121
4,1,20,2,4,"putc@6-9@.\printf.c",".\printf.c","putc","putc( int fd , char c)",6,9
22,6,129,4,25,"printint@12-36@.\printf.c",".\printf.c","printint","printint( int fd , int xx , int base , int sgn)",12,36
44,13,271,2,46,"printf@40-85@.\printf.c",".\printf.c","printf","printf( int fd , const char * fmt , ...)",40,85
4,1,16,1,4,"pinit@24-27@.\proc.c",".\proc.c","pinit","pinit( void)",24,27
3,1,12,0,3,"cpuid@31-33@.\proc.c",".\proc.c","cpuid","cpuid()",31,33
12,4,68,1,16,"mycpu@38-53@.\proc.c",".\proc.c","mycpu","mycpu( void)",38,53
9,1,39,1,9,"myproc@58-66@.\proc.c",".\proc.c","myproc","myproc( void)",58,66
29,4,205,1,43,"allocproc@74-116@.\proc.c",".\proc.c","allocproc","allocproc( void)",74,116
